obj_id,pc1,pc2,true_class,cluster_id
1237660961327743232,0.8815126921613603,-0.5486747982960154,GALAXY,2
1237664879951151360,2.9582880662985804,-0.3258076283800516,GALAXY,2
1237660961330430208,1.3327396347476603,-0.8677449695275917,GALAXY,2
1237663478724297984,1.7855333883776332,0.052320878206305516,GALAXY,2
1237680272041378048,-3.630723416041908,0.04893998146081309,GALAXY,0
1237680272039609088,2.010135550673919,0.3843230495000187,QSO,2
1237678858481565952,1.1460281022203922,0.2854970331416123,QSO,2
1237678858473963776,0.5933810227774788,-0.3137406945603554,GALAXY,2
1237661435386659840,1.1645006688147752,-0.6170675212830764,GALAXY,2
1237670961088168192,-0.5899153597505646,-0.5040441724958125,STAR,2
1237680272034169856,1.4689086026189586,-1.1292557879304987,GALAXY,2
1237662341088150272,1.6558518583937285,-0.684802914433316,GALAXY,2
1237680507721220352,-0.11039173594947849,-0.7865546126130241,STAR,2
1237678858459349248,-2.349283648458785,-0.22589413346424173,GALAXY,0
1237663478726984960,2.8218189445403614,0.13624657654928746,GALAXY,2
1237662341088543744,1.1066782430874937,-0.8795009966676982,GALAXY,2
1237678598087508224,1.5773327227396323,-1.0489679814255564,STAR,2
1237678598091112704,0.8519803313698404,2.154300290624658,QSO,1
1237678598096748800,0.19496035804596062,-0.46781058439365764,STAR,2
1237651539783057664,-2.35563690638364,-0.17329546440045124,GALAXY,0
1237651539783844096,-0.5750081545574737,-0.3652107303783799,GALAXY,2
1237657589775073536,1.199462979800211,-1.3418706098089763,STAR,2
1237657589775204864,0.623924477217931,-0.6435747406165595,GALAXY,2
1237657589775401216,2.2228255317918926,1.936382001785505,QSO,1
1237662341086970112,-3.1346352294189646,0.2243977188002326,GALAXY,0
1237658423542022144,0.2695703768005962,0.02080470689477702,GALAXY,2
1237658423546544640,0.5478545085854629,-1.1202948890042441,GALAXY,2
1237658423545364736,1.9981963818337247,-0.7841061550084127,GALAXY,2
1237663478721872128,-1.9469187378779795,-0.15799873127558714,GALAXY,0
1237663478723575808,-2.6871473428924335,-0.059355888634560094,GALAXY,0
1237662341092606208,-0.6756333684081821,-0.84211624554714,GALAXY,2
1237662341086380544,1.1045509034125078,-0.35476377679019955,GALAXY,2
1237668736824770816,1.5353469941063294,-0.400382654669101,GALAXY,2
1237678858480189696,1.7751697161812197,1.2548630863891013,QSO,1
1237673709872218624,0.48618560865634386,-0.3696407604432616,GALAXY,2
1237678439702987264,1.373154532276996,-0.5920668485544895,GALAXY,2
1237654606389051904,1.6775429472122745,-0.687292920443679,GALAXY,2
1237657401346294016,-2.1627039385076414,-0.15604695995632153,GALAXY,0
1237660635987836928,2.8222403505867755,-0.14629441535364807,STAR,2
1237673705043460864,-0.1540909899146204,-0.4685167832633262,GALAXY,2
1237662194525405440,-0.5819223628739509,-0.31395540795847793,STAR,2
1237671125376500480,2.4022753644071906,-0.5346775675461198,GALAXY,2
1237665126931431680,-0.6782860325023813,-0.6939651308075103,GALAXY,2
1237680246802810112,1.7078539963366846,-1.298485908704951,GALAXY,2
1237661971723780608,0.11762423222943708,-0.27251641034599017,GALAXY,2
1237672816510566656,-0.34929311086662007,-0.5967398977912897,STAR,2
1237678622245192192,2.480295748166066,0.4633226620431492,GALAXY,1
1237668332031508992,2.702869908903296,2.4606423002062936,QSO,1
1237678597547163904,2.0402441246063714,0.9781998509642678,QSO,1
1237660961324990720,0.38588891622601673,-1.0142034092000742,GALAXY,2
1237660961324794112,-0.6564442391609129,-0.5658431455086258,GALAXY,2
1237667431716028672,2.068198419001094,0.7569352882793307,QSO,1
1237663478725412096,2.594266607375164,0.01603350023987539,GALAXY,2
1237678858469572864,0.5449262382332103,-0.46264440434257226,GALAXY,2
1237678858473767168,-1.004021968902535,-0.4956461807662332,GALAXY,0
1237657401335677696,1.1600657810003068,-0.5961561617386955,GALAXY,2
1237653652374946560,0.7889875319242454,-0.39869819098719017,GALAXY,2
1237662336792985856,-2.5511854425383413,-0.20228052970401555,GALAXY,0
1237662336791282432,0.9739995503653526,-1.0221645985391825,GALAXY,2
1237662336795083776,0.5092512328035539,-0.9087746174256399,GALAXY,2
1237662341081924096,-1.0327406423120566,-0.5790351866498977,GALAXY,0
1237662341092540672,1.5270748034487165,-0.6771580906443591,GALAXY,2
1237662341086642432,-2.6886833296919304,0.19457041572895317,GALAXY,0
1237664673251655936,-0.4483479546775606,-0.36208199266450297,GALAXY,2
1237662341086969856,1.2676775981346442,-0.8943421149234569,GALAXY,2
1237662341093458432,-2.501307138692655,-0.19317374490261272,GALAXY,0
1237662341081726976,-2.600633108525606,0.08132905511401763,GALAXY,0
1237662341092410112,-1.461260394222426,-0.43006786437792444,GALAXY,0
1237662341084873216,0.9646511705680239,-1.121000291307815,GALAXY,2
1237680272038625792,1.2970803359704577,-0.09306884117653484,GALAXY,2
1237680272036135424,-1.7176837846735133,-0.4773249592864751,GALAXY,0
1237657589784838400,2.5552581542033215,1.8176581335815634,QSO,1
1237657589775073536,0.9035998010635025,0.9681498609568377,QSO,1
1237658423538156032,-3.5687937174801285,0.2525622253152887,GALAXY,0
1237678858476323072,0.5427670135433508,0.9143115585045487,QSO,1
1237678858476847616,1.0970409587508039,-0.6399874920897698,STAR,2
1237663478724166656,3.977878782697326,-0.4658056797478128,GALAXY,2
1237680262925320448,-0.07028453051867344,-0.5882040139961285,GALAXY,2
1237660751945990656,-0.11479456771680643,-1.486859252625869,STAR,2
1237657401337577984,0.375946900986432,-0.9578588364703394,GALAXY,2
1237666246297190656,2.9384860951323906,0.9608971722319763,QSO,1
1237673709868024576,1.5835492504181985,-0.9532276189916998,GALAXY,2
1237662194526519808,1.9504666283879948,-1.4731571908426124,STAR,2
1237662194527502592,3.3391289160052127,1.8095301561360577,QSO,1
1237671125369946880,0.5529713169064128,-0.23056544230069137,GALAXY,2
1237661972268581120,0.08820058466891692,2.5995695945963395,QSO,1
