class,fpr,tpr
GALAXY,0.874372,0.99996
GALAXY,0.879397,0.999962
GALAXY,0.884422,0.999963
GALAXY,0.889447,0.999965
GALAXY,0.894472,0.999967
GALAXY,0.899497,0.999968
GALAXY,0.904523,0.99997
GALAXY,0.909548,0.999971
GALAXY,0.914573,0.999973
GALAXY,0.919598,0.999975
GALAXY,0.924623,0.999976
GALAXY,0.929648,0.999978
GALAXY,0.934673,0.999979
GALAXY,0.939698,0.999981
GALAXY,0.944724,0.999982
GALAXY,0.949749,0.999984
GALAXY,0.954774,0.999986
GALAXY,0.959799,0.999987
GALAXY,0.964824,0.999989
GALAXY,0.969849,0.99999
GALAXY,0.974874,0.999992
GALAXY,0.979899,0.999994
GALAXY,0.984925,0.999995
GALAXY,0.98995,0.999997
GALAXY,0.994975,0.999998
GALAXY,1.0,1.0
QSO,0.0,0.227057
QSO,0.005025,0.913238
QSO,0.01005,0.941192
QSO,0.015075,0.948312
QSO,0.020101,0.953323
QSO,0.025126,0.958333
QSO,0.030151,0.962025
QSO,0.035176,0.965981
QSO,0.040201,0.968354
QSO,0.045226,0.971255
QSO,0.050251,0.972574
QSO,0.055276,0.973101
QSO,0.060302,0.974684
QSO,0.065327,0.975738
QSO,0.070352,0.97653
QSO,0.075377,0.977321
QSO,0.080402,0.978112
QSO,0.085427,0.979167
QSO,0.090452,0.979958
QSO,0.095477,0.980485
QSO,0.100503,0.981013
QSO,0.105528,0.98154
QSO,0.110553,0.982331
QSO,0.115578,0.982859
QSO,0.120603,0.983386
QSO,0.125628,0.984177
QSO,0.130653,0.984441
QSO,0.135678,0.984441
QSO,0.140704,0.984705
QSO,0.145729,0.986023
QSO,0.150754,0.986287
QSO,0.155779,0.987605
QSO,0.160804,0.988397
QSO,0.165829,0.989188
QSO,0.170854,0.989451
QSO,0.175879,0.989979
QSO,0.180905,0.990243
QSO,0.18593,0.99077
QSO,0.190955,0.99077
QSO,0.19598,0.991034
QSO,0.201005,0.991034
QSO,0.20603,0.991034
QSO,0.211055,0.991561
QSO,0.21608,0.992089
QSO,0.221106,0.992089
QSO,0.226131,0.992616
QSO,0.231156,0.992616
QSO,0.236181,0.992616
QSO,0.241206,0.992616
QSO,0.246231,0.992616
QSO,0.251256,0.992616
QSO,0.256281,0.992616
QSO,0.261307,0.992616
QSO,0.266332,0.992616
QSO,0.271357,0.992616
QSO,0.276382,0.99288
QSO,0.281407,0.993407
QSO,0.286432,0.993407
QSO,0.291457,0.993407
QSO,0.296482,0.993407
QSO,0.301508,0.993407
QSO,0.306533,0.993935
QSO,0.311558,0.993935
QSO,0.316583,0.993935
QSO,0.321608,0.993935
QSO,0.326633,0.993935
QSO,0.331658,0.993935
QSO,0.336683,0.993935
QSO,0.341709,0.994198
QSO,0.346734,0.994462
QSO,0.351759,0.994726
QSO,0.356784,0.995517
QSO,0.361809,0.995517
QSO,0.366834,0.995517
QSO,0.371859,0.995517
QSO,0.376884,0.995517
QSO,0.38191,0.995517
QSO,0.386935,0.995517
QSO,0.39196,0.995517
QSO,0.396985,0.995517
QSO,0.40201,0.995517
QSO,0.407035,0.995517
QSO,0.41206,0.995781
QSO,0.417085,0.996044
QSO,0.422111,0.996572
QSO,0.427136,0.996835
QSO,0.432161,0.996835
QSO,0.437186,0.996835
QSO,0.442211,0.996835
QSO,0.447236,0.997099
QSO,0.452261,0.997099
QSO,0.457286,0.997099
QSO,0.462312,0.997363
QSO,0.467337,0.997363
QSO,0.472362,0.997363
QSO,0.477387,0.997363
QSO,0.482412,0.997363
QSO,0.487437,0.997627
QSO,0.492462,0.99789
QSO,0.497487,0.99789
QSO,0.502513,0.998154
QSO,0.507538,0.998154
QSO,0.512563,0.998154
QSO,0.517588,0.998418
QSO,0.522613,0.998418
QSO,0.527638,0.998418
QSO,0.532663,0.998681
QSO,0.537688,0.998681
QSO,0.542714,0.998681
QSO,0.547739,0.998681
QSO,0.552764,0.998681
QSO,0.557789,0.998681
QSO,0.562814,0.998681
QSO,0.567839,0.998681
QSO,0.572864,0.998681
QSO,0.577889,0.998681
QSO,0.582915,0.998681
QSO,0.58794,0.998681
QSO,0.592965,0.998681
QSO,0.59799,0.998681
QSO,0.603015,0.998681
QSO,0.60804,0.998681
QSO,0.613065,0.998681
QSO,0.61809,0.998681
QSO,0.623116,0.998681
QSO,0.628141,0.998681
QSO,0.633166,0.998681
QSO,0.638191,0.998681
QSO,0.643216,0.998681
QSO,0.648241,0.998945
QSO,0.653266,0.998945
QSO,0.658291,0.998945
QSO,0.663317,0.998945
QSO,0.668342,0.999209
QSO,0.673367,0.999209
QSO,0.678392,0.999209
QSO,0.683417,0.999473
QSO,0.688442,0.999473
QSO,0.693467,0.999473
QSO,0.698492,0.999473
QSO,0.703518,0.999473
QSO,0.708543,0.999473
QSO,0.713568,0.999473
QSO,0.718593,0.999473
QSO,0.723618,0.999736
QSO,0.728643,0.999736
QSO,0.733668,0.999736
QSO,0.738693,0.999736
QSO,0.743719,0.999736
QSO,0.748744,0.999736
QSO,0.753769,1.0
QSO,0.758794,1.0
QSO,0.763819,1.0
QSO,0.768844,1.0
QSO,0.773869,1.0
QSO,0.778894,1.0
QSO,0.78392,1.0
QSO,0.788945,1.0
QSO,0.79397,1.0
QSO,0.798995,1.0
QSO,0.80402,1.0
QSO,0.809045,1.0
QSO,0.81407,1.0
QSO,0.819095,1.0
QSO,0.824121,1.0
QSO,0.829146,1.0
QSO,0.834171,1.0
QSO,0.839196,1.0
QSO,0.844221,1.0
QSO,0.849246,1.0
QSO,0.854271,1.0
QSO,0.859296,1.0
QSO,0.864322,1.0
QSO,0.869347,1.0
QSO,0.874372,1.0
QSO,0.879397,1.0
QSO,0.884422,1.0
QSO,0.889447,1.0
QSO,0.894472,1.0
QSO,0.899497,1.0
QSO,0.904523,1.0
QSO,0.909548,1.0
QSO,0.914573,1.0
QSO,0.919598,1.0
QSO,0.924623,1.0
QSO,0.929648,1.0
QSO,0.934673,1.0
QSO,0.939698,1.0
QSO,0.944724,1.0
QSO,0.949749,1.0
QSO,0.954774,1.0
QSO,0.959799,1.0
QSO,0.964824,1.0
QSO,0.969849,1.0
QSO,0.974874,1.0
QSO,0.979899,1.0
QSO,0.984925,1.0
QSO,0.98995,1.0
QSO,0.994975,1.0
QSO,1.0,1.0
STAR,0.0,0.0
STAR,0.005025,1.0
STAR,0.01005,1.0
STAR,0.015075,1.0
STAR,0.020101,1.0
STAR,0.025126,1.0
STAR,0.030151,1.0
STAR,0.035176,1.0
STAR,0.040201,1.0
STAR,0.045226,1.0
STAR,0.050251,1.0
STAR,0.055276,1.0
STAR,0.060302,1.0
STAR,0.065327,1.0
STAR,0.070352,1.0
STAR,0.075377,1.0
STAR,0.080402,1.0
STAR,0.085427,1.0
STAR,0.090452,1.0
STAR,0.095477,1.0
STAR,0.100503,1.0
STAR,0.105528,1.0
STAR,0.110553,1.0
STAR,0.115578,1.0
STAR,0.120603,1.0
STAR,0.125628,1.0
STAR,0.130653,1.0
STAR,0.135678,1.0
STAR,0.140704,1.0
STAR,0.145729,1.0
STAR,0.150754,1.0
STAR,0.155779,1.0
STAR,0.160804,1.0
STAR,0.165829,1.0
STAR,0.170854,1.0
STAR,0.175879,1.0
