class,u_g,g_r,r_i,i_z
GALAXY,1.6035199999999996,1.8802900000000022,1.2292799999999993,0.37201999999999913
GALAXY,1.9457099999999983,0.247440000000001,1.4163200000000025,-0.44615000000000293
GALAXY,2.5991800000000005,2.054129999999997,1.2611900000000027,0.4002999999999979
GALAXY,-1.6397399999999998,2.1649400000000014,1.1070799999999998,1.254439999999999
GALAXY,1.856900000000003,1.0828099999999985,0.5203600000000002,0.4324999999999992
QSO,0.1505100000000006,2.0158099999999983,1.0657999999999994,0.7107100000000024
QSO,0.2934899999999985,0.24794999999999945,0.32002999999999915,0.18252999999999986
GALAXY,0.22807000000000244,1.68046,0.8533200000000001,0.63795
GALAXY,2.04617,1.7463699999999989,1.1454200000000014,0.50638
STAR,1.7117600000000017,0.8594000000000008,0.3572999999999986,0.1640100000000011
GALAXY,3.251209999999997,1.8815800000000031,0.8581299999999992,0.7230600000000003
GALAXY,-0.032079999999997,2.8165099999999974,1.1757300000000015,0.351659999999999
STAR,3.02778,0.725480000000001,0.19913999999999987,0.32675000000000054
GALAXY,2.0784899999999986,1.2397300000000016,0.4948699999999988,0.38859000000000066
GALAXY,0.4161999999999999,0.70702,0.22306999999999988,0.01162000000000063
GALAXY,2.7536900000000024,1.6858299999999993,0.955569999999998,0.5170100000000026
STAR,3.10623,0.48951999999999884,0.15954999999999941,0.30918000000000134
QSO,-0.019519999999999982,0.10518000000000072,0.24077999999999733,0.16873999999999967
STAR,1.2642399999999974,0.6081200000000031,0.18860999999999706,0.20542999999999978
GALAXY,1.8048499999999983,1.0612700000000004,0.497440000000001,0.38585000000000136
GALAXY,1.2859499999999997,1.8823499999999989,0.6484099999999984,0.335720000000002
STAR,2.211919999999999,1.4134200000000021,1.050819999999998,0.7024300000000032
GALAXY,4.672150000000002,1.10858,0.5768899999999988,0.2530500000000018
QSO,0.20897000000000077,0.2633200000000002,-0.09494000000000113,0.20396000000000214
GALAXY,1.3409399999999998,0.5244,0.26413000000000153,0.031169999999999476
GALAXY,0.7561499999999981,2.1411599999999993,-4.814489999999999,5.2156400000000005
GALAXY,4.67041,1.7034899999999986,0.7792900000000031,0.5544999999999973
GALAXY,3.059269999999998,0.9724199999999996,1.171520000000001,0.2748100000000022
GALAXY,1.6925799999999995,0.7869700000000002,0.44971999999999923,0.3136700000000019
GALAXY,1.7819600000000015,1.0601899999999986,0.4898200000000017,0.3795199999999994
GALAXY,3.982779999999998,1.8437800000000024,0.69388,0.39498999999999995
GALAXY,1.0561299999999996,1.2190100000000008,0.9037600000000019,0.5260499999999979
GALAXY,0.9071700000000007,1.4993499999999997,1.5096600000000002,0.5300900000000013
QSO,0.5409000000000006,0.163689999999999,0.3445500000000017,0.07720000000000127
GALAXY,1.2560700000000011,1.572029999999998,0.9284300000000023,0.18452999999999875
GALAXY,1.0843999999999987,1.7938200000000002,1.2831500000000027,0.4560999999999993
GALAXY,1.0578600000000016,1.9122100000000017,0.9680099999999996,0.44557
GALAXY,1.8567500000000017,1.1386000000000003,0.4734899999999982,0.3694600000000001
STAR,-1.55171,-2.5843500000000006,3.3655800000000013,-1.38945
GALAXY,1.1531400000000005,1.863229999999998,0.6537000000000006,0.4832099999999997
STAR,1.430419999999998,0.49931000000000125,0.2295000000000016,0.09816000000000003
GALAXY,3.0710499999999996,0.6346500000000006,0.9824100000000016,0.5541199999999975
GALAXY,2.92549,1.5565099999999994,0.6602500000000013,0.39687999999999946
GALAXY,4.533810000000003,1.9522300000000001,0.913059999999998,0.6186299999999996
GALAXY,0.38577000000000083,2.0179899999999975,1.051000000000002,0.747910000000001
STAR,2.3100799999999992,0.744760000000003,0.24185999999999908,0.13552999999999926
GALAXY,0.4968299999999992,0.057380000000001985,0.6816899999999997,0.5439899999999973
QSO,0.6520100000000006,0.11430000000000007,-0.005490000000001771,0.47452000000000183
QSO,0.10974000000000217,0.34825000000000017,0.1879899999999992,0.1785899999999998
GALAXY,3.6454900000000023,1.68065,0.685889999999997,0.41070000000000206
GALAXY,2.5477999999999987,1.6285200000000017,0.6673699999999982,0.4372100000000003
QSO,-0.07280000000000086,0.11503000000000085,0.01483999999999952,0.36036999999999964
GALAXY,-0.10485000000000255,0.278450000000003,1.34722,0.6964799999999975
GALAXY,0.511330000000001,2.086970000000001,1.0367700000000006,0.5335800000000006
GALAXY,2.122589999999999,1.5659000000000027,0.6115599999999972,0.4040500000000016
GALAXY,0.1111600000000017,-0.2430400000000006,1.367280000000001,0.8604999999999983
GALAXY,0.40911000000000186,1.8056799999999988,1.0612899999999996,0.5896600000000021
GALAXY,2.2291799999999995,1.1844900000000003,0.5152199999999993,0.40582000000000207
GALAXY,3.3136199999999967,2.0958000000000006,1.0061300000000024,0.45501999999999754
GALAXY,3.21105,1.9101800000000004,0.8169199999999996,0.4002100000000013
GALAXY,2.8449000000000026,1.502839999999999,0.6297899999999998,0.35105000000000075
GALAXY,3.421389999999999,0.9829799999999977,0.9264200000000002,-0.03185999999999822
GALAXY,1.1576500000000003,0.5673899999999996,0.32031000000000276,0.16583999999999932
GALAXY,1.275739999999999,1.8494099999999989,0.6114100000000029,0.07288999999999746
GALAXY,2.902440000000002,1.649829999999998,1.0229500000000016,0.48860999999999777
GALAXY,1.8807100000000005,1.376339999999999,0.5454000000000008,0.42408
GALAXY,1.4831700000000012,0.6309299999999993,0.3644600000000011,0.17743999999999716
GALAXY,2.4325599999999987,1.5005300000000013,0.5618499999999997,0.3849400000000003
GALAXY,4.080870000000001,1.8224799999999988,0.9551400000000001,0.48429000000000144
GALAXY,0.7020899999999983,0.9108200000000011,1.1986799999999995,0.12025999999999826
GALAXY,2.8105399999999996,1.3335700000000017,0.5833999999999975,0.43761000000000294
QSO,0.11904999999999788,-0.12017999999999773,0.05164999999999864,0.05957000000000079
QSO,0.2576199999999993,0.061700000000001864,0.010279999999998068,0.3957000000000015
GALAXY,1.3945499999999988,0.7059899999999999,0.39446000000000225,0.22241
QSO,0.15446999999999989,0.21213000000000193,0.04071000000000069,-0.0120900000000006
STAR,1.867630000000002,0.22157999999999944,0.17330000000000112,0.1807099999999977
GALAXY,-0.5250500000000002,1.2894000000000005,1.4835700000000003,-0.11148000000000025
GALAXY,3.251019999999997,1.220290000000002,0.9505099999999977,0.5427300000000024
STAR,1.1762499999999996,2.81334,1.6089300000000009,1.1755600000000008
GALAXY,3.3059399999999997,1.4989199999999983,0.8247199999999992,0.6063200000000002
QSO,0.3215900000000005,0.2779299999999978,-0.0860599999999998,0.32309000000000054
GALAXY,3.4012700000000002,1.486259999999998,1.01492,0.4847600000000014
STAR,2.0795400000000015,1.3864799999999988,1.071629999999999,0.8022600000000004
QSO,1.2440299999999986,0.23153999999999897,-0.3044099999999972,-0.38933000000000106
GALAXY,1.6971199999999982,1.0683400000000027,1.1451499999999974,0.67774
QSO,0.6786700000000003,0.15142000000000166,0.04338999999999871,0.20848000000000155
GALAXY,0.06611000000000189,1.0785199999999975,0.7020500000000034,0.3734599999999979
QSO,0.28758000000000195,-0.020410000000001816,0.03066000000000102,0.3664299999999976
GALAXY,1.741530000000001,1.6502999999999979,0.6407500000000006,0.4150400000000012
STAR,1.6244200000000006,0.6682799999999993,0.2644100000000016,0.2370100000000015
GALAXY,1.4540700000000015,0.4730699999999999,0.16896999999999807,-0.020530000000000825
STAR,0.617329999999999,1.6168700000000022,2.896469999999997,1.701830000000001
GALAXY,3.539580000000001,1.9608899999999991,1.0369099999999989,0.527630000000002
GALAXY,3.7975199999999987,1.7074700000000007,0.5685000000000002,0.28692000000000206
GALAXY,1.4632000000000005,1.3431299999999986,0.9642900000000019,0.4109400000000001
GALAXY,1.011689999999998,1.1456499999999998,1.08596,0.8580900000000007
